hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
GH_FIBRESWITCH_1,5,Standard,60,permit,,62.239.34.0 0.0.0.255,,,
GH_FIBRESWITCH_1,5,Standard,70,permit,,62.239.35.0 0.0.0.255,,,
GH_FIBRESWITCH_1,6,Standard,10,deny,,any,,,
GH_FIBRESWITCH_1,10,Standard,10,permit,,10.120.163.210,,,
GH_FIBRESWITCH_1,10,Standard,20,permit,,10.112.12.126,,,
GH_FIBRESWITCH_1,10,Standard,30,permit,,10.112.12.125,,,
GH_FIBRESWITCH_1,10,Standard,40,permit,,10.120.163.123,,,
GH_FIBRESWITCH_1,10,Standard,50,permit,,10.120.163.122,,,
GH_FIBRESWITCH_1,10,Standard,60,permit,,10.120.163.59,,,
GH_FIBRESWITCH_1,10,Standard,70,permit,,10.110.163.59,,,
GH_FIBRESWITCH_1,11,Standard,10,permit,,10.112.12.126,,,
GH_FIBRESWITCH_1,11,Standard,20,permit,,10.112.12.125,,,
GH_FIBRESWITCH_1,11,Standard,30,permit,,10.120.136.140,,,
GH_FIBRESWITCH_1,11,Standard,40,permit,,10.120.163.123,,,
GH_FIBRESWITCH_1,11,Standard,50,permit,,10.120.163.122,,,
GH_FIBRESWITCH_1,11,Standard,60,permit,,10.50.3.140,,,
GH_FIBRESWITCH_1,11,Standard,70,deny,,any log,,,
GH_FIBRESWITCH_1,19,Standard,10,permit,,172.16.41.192 0.0.0.31,,,
GH_FIBRESWITCH_1,19,Standard,20,permit,,10.1.82.64 0.0.0.31,,,
GH_FIBRESWITCH_1,22,Standard,10,permit,,10.112.12.119,,,
GH_FIBRESWITCH_1,22,Standard,20,permit,,10.210.143.80,,,
GH_FIBRESWITCH_1,22,Standard,30,permit,,10.120.143.80,,,
GH_FIBRESWITCH_1,22,Standard,40,permit,,10.180.142.232,,,
GH_FIBRESWITCH_1,100,Extended,10,deny,ip,10.17.5.0 0.0.0.255,0.3.0.0 0.0.255.255,
GH_FIBRESWITCH_1,100,Extended,20,permit,ip,any,any,
GH_FIBRESWITCH_2,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
GH_FIBRESWITCH_2,solarwinds-new,Standard,100,deny,,any log,,,
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,10,permit,udp,any,host 255.255.255.255,bootps
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,20,permit,udp,any,any,bootps
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,30,permit,udp,10.3.228.0 0.0.0.255,host 10.210.193.235,domain
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,40,permit,udp,10.3.228.0 0.0.0.255,host 10.210.193.235,bootps
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,50,permit,udp,10.3.228.0 0.0.0.255,host 10.210.193.236,domain
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,60,permit,udp,10.3.228.0 0.0.0.255,host 10.210.193.236,bootps
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,70,permit,udp,10.3.228.0 0.0.0.255,host 10.120.193.235,domain
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,80,permit,udp,10.3.228.0 0.0.0.255,host 10.120.193.235,bootps
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,90,permit,udp,10.3.228.0 0.0.0.255,host 10.120.193.236,domain
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,100,permit,udp,10.3.228.0 0.0.0.255,host 10.120.193.236,bootps
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,110,permit,udp,10.3.120.0 0.0.0.255,host 10.120.193.238,domain
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,120,permit,udp,10.3.120.0 0.0.0.255,host 10.120.193.239,domain
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,130,permit,tcp,10.3.228.0 0.0.0.255,host 192.168.9.102,8080
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,140,permit,udp,10.3.228.0 0.0.0.255,host 192.168.9.102,isakmp
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,150,permit,udp,10.3.228.0 0.0.0.255,host 192.168.9.102,non500-isakmp
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,160,permit,ip,10.3.228.0 0.0.0.255,host 141.138.129.40,
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,170,permit,ip,10.3.228.0 0.0.0.255,host 95.131.184.37,
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,180,permit,tcp,10.3.228.0 0.0.0.255,0.1.28.0 0.0.1.255,www
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,190,permit,tcp,10.3.228.0 0.0.0.255,0.1.28.0 0.0.1.255,443
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,200,permit,tcp,10.3.228.0 0.0.0.255,211.36.0 0.0.1.255,www
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,210,permit,tcp,10.3.228.0 0.0.0.255,211.36.0 0.0.1.255,443
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,220,permit,tcp,10.3.228.0 0.0.0.255,212.36.0 0.0.1.255,www
GH_FIBRESWITCH_2,FROM-GSH-TESTWIFI,Extended,230,permit,tcp,10.3.228.0 0.0.0.255,212.36.0 0.0.1.255,443
